rate,votes,approx_cost(for two people)
1.62924053973028,6.654152520183219,6.68586094706836
1.62924053973028,6.669498089857879,6.68586094706836
1.5686159179138452,6.823286122355687,6.68586094706836
1.547562508716013,4.48863636973214,5.707110264748875
1.5686159179138452,5.117993812416755,6.398594934535208
1.5686159179138452,5.659482215759621,6.398594934535208
1.5260563034950492,2.1972245773362196,6.68586094706836
1.7227665977411035,7.846589975291186,6.398594934535208
1.6094379124341003,5.783825182329737,6.55250788703459
1.6486586255873816,6.22455842927536,6.311734809152915
1.62924053973028,5.998936561946683,6.2166061010848646
1.6486586255873816,5.017279836814924,6.398594934535208
1.6486586255873816,5.10594547390058,6.2166061010848646
1.6094379124341003,6.052089168924417,6.111467339502679
1.5686159179138452,6.823286122355687,6.68586094706836
1.5686159179138452,4.51085950651685,6.478509642208569
1.589235205116581,4.897839799950911,6.68586094706836
1.5686159179138452,4.976733742420574,6.55250788703459
1.589235205116581,4.543294782270004,5.707110264748875
1.410986973710262,2.6390573296152584,5.993961427306569
1.3862943611198906,4.143134726391533,5.993961427306569
1.547562508716013,5.198497031265826,6.2166061010848646
1.5260563034950492,3.367295829986474,6.803505257608338
1.5260563034950492,4.143134726391533,6.398594934535208
1.547562508716013,3.4657359027997265,5.707110264748875
1.4350845252893227,2.4849066497880004,6.398594934535208
1.5686159179138452,4.330733340286331,5.303304908059076
1.4586150226995167,1.6094379124341003,6.2166061010848646
1.4586150226995167,3.1780538303479458,6.311734809152915
1.5686159179138452,5.003946305945459,6.311734809152915
1.6094379124341003,5.393627546352362,6.398594934535208
1.33500106673234,6.2285110035911835,6.2166061010848646
1.589235205116581,3.58351893845611,6.2166061010848646
1.589235205116581,5.153291594497779,6.621405651764134
1.6486586255873816,6.030685260261263,6.2166061010848646
1.589235205116581,5.442417710521793,6.478509642208569
1.33500106673234,4.5217885770490405,5.993961427306569
1.6486586255873816,7.4073177104694174,6.398594934535208
1.6863989535702288,8.493924564476883,6.621405651764134
1.6094379124341003,2.8903717578961645,5.017279836814924
1.5686159179138452,4.897839799950911,5.303304908059076
1.589235205116581,3.367295829986474,5.707110264748875
1.589235205116581,5.659482215759621,6.2166061010848646
1.589235205116581,6.293419278846481,6.68586094706836
1.7227665977411035,7.846589975291186,6.398594934535208
1.5686159179138452,3.6109179126442243,5.993961427306569
1.5260563034950492,5.501258210544727,5.707110264748875
1.6094379124341003,6.690842277418564,6.111467339502679
1.547562508716013,6.522092798170152,6.7464121285733745
1.410986973710262,5.5053315359323625,5.707110264748875
1.547562508716013,3.091042453358316,6.111467339502679
1.62924053973028,3.367295829986474,5.017279836814924
1.667706820558076,5.846438775057725,5.993961427306569
1.6094379124341003,6.428105272684596,6.621405651764134
1.6094379124341003,6.954638864880987,6.111467339502679
1.589235205116581,6.4425401664681985,6.111467339502679
1.5686159179138452,4.653960350157523,5.707110264748875
1.6486586255873816,5.872117789475416,6.68586094706836
1.5260563034950492,4.02535169073515,5.303304908059076
1.547562508716013,2.8903717578961645,5.993961427306569
1.6486586255873816,5.501258210544727,6.68586094706836
1.5260563034950492,5.099866427824199,6.68586094706836
1.5686159179138452,4.07753744390572,5.017279836814924
1.6094379124341003,6.695798917058491,6.7464121285733745
1.547562508716013,4.3694478524670215,5.017279836814924
1.62924053973028,7.450660796211539,5.993961427306569
1.5260563034950492,3.5553480614894135,4.61512051684126
1.62924053973028,6.767343125265392,7.0909098220799835
1.5686159179138452,3.6888794541139363,5.707110264748875
1.4350845252893227,4.276666119016055,6.398594934535208
1.5260563034950492,1.9459101490553132,6.2166061010848646
1.62924053973028,6.255750041753367,5.707110264748875
1.5476579973382587,0.0,5.017279836814924
1.3609765531356006,4.442651256490317,6.55250788703459
1.5260563034950492,5.703782474656201,5.707110264748875
1.5476579973382587,0.0,6.2166061010848646
1.62924053973028,6.326149473155099,5.017279836814924
1.5260563034950492,3.367295829986474,5.707110264748875
1.547562508716013,3.1354942159291497,6.2166061010848646
1.5686159179138452,3.6888794541139363,5.860786223465865
1.5686159179138452,5.0369526024136295,6.2166061010848646
1.6486586255873816,4.990432586778736,5.993961427306569
1.5040773967762742,2.70805020110221,5.303304908059076
1.5686159179138452,3.7612001156935624,6.55250788703459
1.5476579973382587,0.0,4.61512051684126
1.6094379124341003,4.204692619390966,5.707110264748875
1.6863989535702288,8.389814262086407,6.398594934535208
1.5040773967762742,3.4657359027997265,5.303304908059076
1.5040773967762742,2.0794415416798357,6.2166061010848646
1.547562508716013,3.091042453358316,5.5254529391317835
1.5476579973382587,0.0,6.2166061010848646
1.5476579973382587,0.0,5.993961427306569
1.5476579973382587,0.0,5.303304908059076
1.4350845252893227,2.302585092994046,5.707110264748875
1.2809338454620642,5.648974238161206,6.398594934535208
1.4586150226995167,4.143134726391533,6.68586094706836
1.5686159179138452,4.174387269895637,5.5254529391317835
1.547562508716013,3.6888794541139363,6.85751406254539
1.547562508716013,4.189654742026425,5.707110264748875
1.5686159179138452,4.276666119016055,5.993961427306569
1.5040773967762742,3.970291913552122,5.707110264748875
1.547562508716013,4.875197323201151,5.303304908059076
1.5040773967762742,2.3978952727983707,5.707110264748875
1.5686159179138452,3.828641396489095,5.993961427306569
1.4350845252893227,2.4849066497880004,6.398594934535208
1.5040773967762742,2.6390573296152584,5.707110264748875
1.4816045409242156,2.1972245773362196,5.707110264748875
1.5476579973382587,0.0,5.5254529391317835
1.4350845252893227,2.302585092994046,5.707110264748875
1.4350845252893227,1.6094379124341003,5.707110264748875
1.5476579973382587,0.0,5.303304908059076
1.410986973710262,3.4011973816621555,5.017279836814924
1.4816045409242156,2.1972245773362196,5.993961427306569
1.5476579973382587,0.0,5.017279836814924
1.5476579973382587,0.0,5.707110264748875
1.5476579973382587,0.0,5.303304908059076
1.5476579973382587,0.0,5.017279836814924
1.5476579973382587,0.0,5.017279836814924
1.5476579973382587,0.0,5.5254529391317835
1.410986973710262,3.4339872044851463,6.90875477931522
1.62924053973028,5.308267697401205,5.707110264748875
1.4586150226995167,2.0794415416798357,5.303304908059076
1.410986973710262,1.9459101490553132,4.61512051684126
1.4586150226995167,2.8903717578961645,5.303304908059076
1.3609765531356006,3.258096538021482,5.303304908059076
1.5476579973382587,0.0,5.993961427306569
1.5476579973382587,0.0,5.860786223465865
1.4586150226995167,2.1972245773362196,4.61512051684126
1.5476579973382587,0.0,5.017279836814924
1.5476579973382587,0.0,5.017279836814924
1.5476579973382587,0.0,5.303304908059076
1.5476579973382587,0.0,4.61512051684126
1.5476579973382587,0.0,5.993961427306569
1.5476579973382587,0.0,5.303304908059076
1.5476579973382587,0.0,5.017279836814924
1.5476579973382587,0.0,5.993961427306569
1.5476579973382587,0.0,5.017279836814924
1.5476579973382587,0.0,5.5254529391317835
1.5476579973382587,0.0,5.5254529391317835
1.5476579973382587,0.0,5.017279836814924
1.5476579973382587,0.0,5.303304908059076
1.5476579973382587,0.0,5.860786223465865
1.5476579973382587,0.0,5.707110264748875
1.5476579973382587,0.0,4.61512051684126
1.5476579973382587,0.0,5.017279836814924
1.6094379124341003,6.648984550024776,6.111467339502679
1.3862943611198906,4.59511985013459,6.68586094706836
1.589235205116581,3.871201010907891,5.303304908059076
1.62924053973028,5.170483995038151,6.2166061010848646
1.5686159179138452,4.07753744390572,5.707110264748875
1.5686159179138452,6.293419278846481,6.478509642208569
1.5686159179138452,4.8283137373023015,5.993961427306569
1.62924053973028,5.831882477283517,6.2166061010848646
1.5686159179138452,6.226536669287466,6.111467339502679
1.5476579973382587,0.0,4.61512051684126
1.62924053973028,6.0844994130751715,6.2166061010848646
1.547562508716013,5.579729825986222,6.621405651764134
1.589235205116581,5.135798437050262,5.017279836814924
1.3862943611198906,4.219507705176107,5.5254529391317835
1.547562508716013,4.584967478670572,5.860786223465865
1.4586150226995167,2.5649493574615367,5.707110264748875
1.4586150226995167,2.5649493574615367,5.707110264748875
1.5260563034950492,5.278114659230517,6.68586094706836
1.4586150226995167,2.6390573296152584,5.707110264748875
1.7227665977411035,5.43372200355424,5.993961427306569
1.62924053973028,4.2626798770413155,5.017279836814924
1.62924053973028,5.8998973535824915,7.0909098220799835
1.547562508716013,4.68213122712422,5.017279836814924
1.4350845252893227,5.123963979403259,5.707110264748875
1.6094379124341003,4.7535901911063645,5.993961427306569
1.547562508716013,3.332204510175204,5.993961427306569
1.5040773967762742,4.060443010546419,5.303304908059076
1.5686159179138452,4.795790545596741,5.5254529391317835
1.5686159179138452,2.772588722239781,5.993961427306569
1.6486586255873816,4.174387269895637,6.2166061010848646
1.5260563034950492,4.204692619390966,5.017279836814924
1.3862943611198906,5.673323267171493,6.111467339502679
1.62924053973028,5.455321115357702,5.303304908059076
1.5686159179138452,4.7535901911063645,5.5254529391317835
1.410986973710262,4.787491742782046,6.55250788703459
1.589235205116581,5.676753802268282,6.478509642208569
1.7047480922384253,5.049856007249537,5.707110264748875
1.62924053973028,5.723585101952381,6.55250788703459
1.5260563034950492,3.8501476017100584,6.2166061010848646
1.5040773967762742,3.828641396489095,5.860786223465865
1.589235205116581,3.6635616461296463,5.017279836814924
1.589235205116581,6.091309882077698,5.993961427306569
